file_path,file_class,file_name,A3
database_normalized\AircraftBuoyant\m1347.obj,AircraftBuoyant,m1347.obj,"[0.09351 0.10924 0.08847 0.08473 0.07511 0.06612 0.06007 0.05692 0.05519
 0.05433 0.04686 0.0415  0.03864 0.03453 0.03013 0.02588 0.01844 0.01216
 0.00608 0.00209]"
database_normalized\AircraftBuoyant\m1348.obj,AircraftBuoyant,m1348.obj,"[0.05324 0.11626 0.12339 0.10395 0.08334 0.0656  0.05628 0.05101 0.04534
 0.04292 0.04028 0.03784 0.03697 0.03469 0.0334  0.03006 0.02173 0.01498
 0.00714 0.00158]"
database_normalized\AircraftBuoyant\m1349.obj,AircraftBuoyant,m1349.obj,"[0.05953 0.11239 0.11722 0.09943 0.08179 0.06803 0.05897 0.05372 0.04917
 0.04552 0.04096 0.03814 0.03648 0.03437 0.02956 0.02727 0.02384 0.01541
 0.00666 0.00154]"
database_normalized\AircraftBuoyant\m1350.obj,AircraftBuoyant,m1350.obj,"[0.05801 0.1053  0.11534 0.10259 0.08282 0.071   0.06193 0.05569 0.04962
 0.04649 0.04275 0.03898 0.03553 0.03348 0.03055 0.02629 0.02116 0.01366
 0.00712 0.00169]"
database_normalized\AircraftBuoyant\m1351.obj,AircraftBuoyant,m1351.obj,"[0.11873 0.0892  0.06386 0.06878 0.08163 0.08323 0.07369 0.06436 0.05819
 0.05547 0.04968 0.03914 0.033   0.02809 0.02385 0.02135 0.01843 0.01418
 0.0098  0.00534]"
database_normalized\AircraftBuoyant\m1352.obj,AircraftBuoyant,m1352.obj,"[0.03978 0.09047 0.10937 0.10927 0.09681 0.08157 0.0687  0.05982 0.05482
 0.04999 0.04545 0.04115 0.03717 0.03401 0.02944 0.0246  0.01672 0.00807
 0.00239 0.0004 ]"
database_normalized\Apartment\D00045.obj,Apartment,D00045.obj,"[0.03446 0.07023 0.09009 0.09443 0.09267 0.08458 0.08626 0.08851 0.08367
 0.07798 0.06384 0.04577 0.02968 0.02061 0.01311 0.00896 0.0065  0.0046
 0.003   0.00105]"
database_normalized\Apartment\D00086.obj,Apartment,D00086.obj,"[0.07123 0.11351 0.11066 0.1003  0.08381 0.07139 0.05203 0.03927 0.0321
 0.03459 0.04879 0.05856 0.05113 0.03994 0.03144 0.0225  0.01723 0.01197
 0.00687 0.00268]"
database_normalized\Apartment\D00138.obj,Apartment,D00138.obj,"[0.09343 0.11481 0.08989 0.07396 0.07179 0.07046 0.06569 0.05916 0.0539
 0.05135 0.04875 0.04315 0.03625 0.03234 0.02704 0.0229  0.0186  0.01423
 0.00904 0.00326]"
database_normalized\Apartment\D00156.obj,Apartment,D00156.obj,"[0.03379 0.07559 0.0976  0.09776 0.09453 0.09215 0.08628 0.0815  0.07182
 0.06173 0.05323 0.04154 0.03119 0.02484 0.01924 0.0147  0.00978 0.00742
 0.00381 0.0015 ]"
database_normalized\Apartment\D00310.obj,Apartment,D00310.obj,"[0.05248 0.09938 0.10735 0.10375 0.08566 0.07489 0.06569 0.06079 0.05775
 0.05338 0.04739 0.04051 0.03455 0.02915 0.02607 0.02072 0.01754 0.01199
 0.00816 0.0028 ]"
database_normalized\Apartment\D00348.obj,Apartment,D00348.obj,"[0.09565 0.10493 0.10038 0.09307 0.0817  0.06791 0.05995 0.05225 0.04762
 0.0441  0.03996 0.03542 0.03114 0.02865 0.02569 0.02331 0.02076 0.01987
 0.01767 0.00997]"
database_normalized\Apartment\D00366.obj,Apartment,D00366.obj,"[0.04494 0.06551 0.07695 0.10062 0.10484 0.10227 0.09127 0.083   0.06917
 0.06391 0.05312 0.03821 0.03012 0.02296 0.01711 0.01244 0.00871 0.00685
 0.00522 0.00278]"
database_normalized\Apartment\D00478.obj,Apartment,D00478.obj,"[0.03915 0.0697  0.08761 0.10121 0.10118 0.09717 0.08602 0.07763 0.06947
 0.06342 0.05537 0.04112 0.03312 0.02528 0.01855 0.01283 0.00836 0.00605
 0.00426 0.0025 ]"
database_normalized\Apartment\D00496.obj,Apartment,D00496.obj,"[0.03267 0.05838 0.0811  0.10878 0.11328 0.10682 0.09445 0.08303 0.0709
 0.05912 0.04843 0.03772 0.02937 0.0232  0.01761 0.01382 0.00867 0.00584
 0.00428 0.00253]"
database_normalized\Apartment\D00626.obj,Apartment,D00626.obj,"[0.05236 0.07363 0.10208 0.10473 0.09384 0.08086 0.07448 0.06813 0.06372
 0.05824 0.05262 0.04506 0.03463 0.02757 0.02091 0.0172  0.01208 0.00928
 0.00613 0.00245]"
database_normalized\Apartment\D00639.obj,Apartment,D00639.obj,"[0.03934 0.06807 0.08309 0.09606 0.10484 0.10221 0.09191 0.08216 0.07368
 0.06229 0.05042 0.03813 0.02973 0.02313 0.01811 0.01323 0.01006 0.00705
 0.00467 0.00182]"
database_normalized\Apartment\D00651.obj,Apartment,D00651.obj,"[0.03437 0.07505 0.0967  0.09675 0.09645 0.09519 0.08375 0.08214 0.0701
 0.06246 0.05209 0.04268 0.03261 0.02379 0.01878 0.01392 0.01061 0.00704
 0.0039  0.00162]"
database_normalized\Apartment\D00681.obj,Apartment,D00681.obj,"[0.05034 0.08967 0.10076 0.09963 0.09209 0.08259 0.07496 0.06542 0.05815
 0.05391 0.04917 0.04182 0.0358  0.02942 0.02405 0.01864 0.0139  0.01018
 0.00692 0.00258]"
database_normalized\Apartment\D00780.obj,Apartment,D00780.obj,"[0.07273 0.1001  0.09245 0.09691 0.08258 0.06652 0.06237 0.06317 0.06169
 0.06139 0.05596 0.04114 0.03533 0.02862 0.02393 0.01845 0.01372 0.01042
 0.00781 0.00471]"
database_normalized\Apartment\D00792.obj,Apartment,D00792.obj,"[0.02457 0.05555 0.07874 0.09693 0.10999 0.11124 0.10459 0.0931  0.07719
 0.06424 0.05212 0.04019 0.02956 0.02093 0.01503 0.00983 0.00722 0.00477
 0.00285 0.00136]"
database_normalized\Apartment\D00859.obj,Apartment,D00859.obj,"[0.0425  0.09147 0.11117 0.10618 0.09329 0.08199 0.07195 0.06159 0.05541
 0.04952 0.04445 0.03939 0.03603 0.03211 0.02771 0.02165 0.01612 0.01019
 0.0053  0.00198]"
database_normalized\Apartment\D00860.obj,Apartment,D00860.obj,"[0.03916 0.06967 0.08757 0.09942 0.10218 0.09594 0.08717 0.0785  0.06984
 0.06346 0.05613 0.04156 0.03235 0.0246  0.01854 0.01245 0.00865 0.00595
 0.00422 0.00264]"
database_normalized\Apartment\D00869.obj,Apartment,D00869.obj,"[0.03407 0.06356 0.08362 0.10252 0.10633 0.10074 0.09019 0.07993 0.07157
 0.06528 0.05444 0.0428  0.03441 0.02445 0.01758 0.01176 0.00694 0.00519
 0.00336 0.00126]"
database_normalized\Apartment\D00921.obj,Apartment,D00921.obj,"[0.04942 0.0749  0.08759 0.09437 0.09742 0.08977 0.08568 0.0777  0.07095
 0.06154 0.0501  0.04244 0.03248 0.02437 0.01842 0.01441 0.01151 0.00865
 0.0055  0.00278]"
database_normalized\Apartment\D00953.obj,Apartment,D00953.obj,"[0.0564  0.08283 0.09972 0.0897  0.09307 0.08786 0.07767 0.0724  0.06528
 0.05886 0.04865 0.0386  0.03064 0.02462 0.02062 0.01652 0.01326 0.01076
 0.00722 0.00532]"
database_normalized\Apartment\m463.obj,Apartment,m463.obj,"[0.04492 0.07348 0.09376 0.10605 0.10152 0.09471 0.08269 0.07342 0.06375
 0.05486 0.04652 0.03774 0.03001 0.02546 0.0218  0.01716 0.01302 0.00982
 0.0069  0.00241]"
database_normalized\Apartment\m464.obj,Apartment,m464.obj,"[0.09365 0.14736 0.12208 0.08042 0.05989 0.049   0.04458 0.04383 0.04468
 0.04133 0.03631 0.03295 0.03139 0.03108 0.03115 0.03381 0.03008 0.02422
 0.01556 0.00663]"
database_normalized\Apartment\m465.obj,Apartment,m465.obj,"[0.15101 0.14028 0.10678 0.07271 0.05329 0.04401 0.03768 0.03575 0.03478
 0.03757 0.03311 0.02944 0.02921 0.02927 0.02903 0.02891 0.02966 0.02918
 0.02834 0.01999]"
database_normalized\AquaticAnimal\m53.obj,AquaticAnimal,m53.obj,"[0.13031 0.15674 0.11472 0.07743 0.05708 0.04358 0.03779 0.03156 0.02964
 0.02857 0.02799 0.02764 0.02923 0.03017 0.0346  0.03744 0.04036 0.03709
 0.0219  0.00616]"
database_normalized\AquaticAnimal\m54.obj,AquaticAnimal,m54.obj,"[0.10628 0.14279 0.11422 0.08744 0.06674 0.05165 0.04407 0.03784 0.034
 0.03158 0.03159 0.03116 0.03217 0.03424 0.03595 0.03739 0.03481 0.02517
 0.0156  0.00531]"
database_normalized\AquaticAnimal\m55.obj,AquaticAnimal,m55.obj,"[0.11376 0.15196 0.11608 0.08357 0.06131 0.04772 0.04053 0.03499 0.03173
 0.02933 0.02916 0.02976 0.02969 0.03252 0.03592 0.03881 0.03904 0.03214
 0.01766 0.00432]"
database_normalized\AquaticAnimal\m56.obj,AquaticAnimal,m56.obj,"[0.13184 0.13971 0.10124 0.0794  0.06382 0.0498  0.04355 0.03727 0.03388
 0.03258 0.03129 0.0308  0.03028 0.03132 0.0353  0.03693 0.03747 0.03206
 0.01667 0.00479]"
database_normalized\AquaticAnimal\m57.obj,AquaticAnimal,m57.obj,"[0.1269  0.14794 0.10945 0.08203 0.0607  0.04801 0.0395  0.03522 0.03292
 0.0304  0.02925 0.02928 0.03048 0.03113 0.03338 0.03612 0.03655 0.03147
 0.0219  0.00737]"
database_normalized\AquaticAnimal\m58.obj,AquaticAnimal,m58.obj,"[0.03942 0.07795 0.09748 0.1051  0.09965 0.09054 0.08214 0.07198 0.06278
 0.05551 0.04585 0.0399  0.03495 0.0282  0.02295 0.01823 0.01363 0.00847
 0.00424 0.00103]"
database_normalized\AquaticAnimal\m59.obj,AquaticAnimal,m59.obj,"[0.14023 0.18234 0.11056 0.0696  0.04986 0.03926 0.03146 0.02751 0.02564
 0.02397 0.02476 0.0243  0.02672 0.02836 0.0333  0.03756 0.04384 0.04337
 0.02916 0.0082 ]"
database_normalized\AquaticAnimal\m60.obj,AquaticAnimal,m60.obj,"[0.07225 0.12875 0.1188  0.0971  0.07587 0.06148 0.0517  0.04596 0.04217
 0.03988 0.03721 0.03447 0.03352 0.03408 0.0324  0.0304  0.02746 0.02066
 0.0126  0.00324]"
database_normalized\AquaticAnimal\m61.obj,AquaticAnimal,m61.obj,"[0.0729  0.12845 0.11504 0.09152 0.07558 0.06333 0.05622 0.04805 0.0433
 0.04015 0.03642 0.03423 0.03374 0.03355 0.03177 0.0302  0.02685 0.02173
 0.01273 0.00424]"
database_normalized\AquaticAnimal\m62.obj,AquaticAnimal,m62.obj,"[0.08217 0.11577 0.10357 0.09029 0.08109 0.07137 0.06263 0.0533  0.04767
 0.04215 0.03811 0.03388 0.03036 0.02815 0.02661 0.02652 0.02285 0.02227
 0.01573 0.00551]"
database_normalized\AquaticAnimal\m63.obj,AquaticAnimal,m63.obj,"[0.03923 0.07187 0.09161 0.09959 0.0993  0.0917  0.08829 0.07993 0.07192
 0.06054 0.05186 0.04238 0.03428 0.0256  0.0186  0.01346 0.00939 0.00577
 0.0034  0.00128]"
database_normalized\AquaticAnimal\m64.obj,AquaticAnimal,m64.obj,"[0.07275 0.12059 0.11209 0.09597 0.08103 0.06816 0.05879 0.05059 0.04404
 0.04071 0.03717 0.03464 0.03208 0.03097 0.0294  0.02829 0.02507 0.01988
 0.01312 0.00466]"
database_normalized\AquaticAnimal\m65.obj,AquaticAnimal,m65.obj,"[0.05045 0.09745 0.10887 0.09979 0.09095 0.07964 0.07065 0.06127 0.05379
 0.04849 0.04299 0.03973 0.03528 0.03101 0.02761 0.02245 0.01815 0.01243
 0.00676 0.00224]"
database_normalized\AquaticAnimal\m66.obj,AquaticAnimal,m66.obj,"[0.1186  0.12608 0.09839 0.07941 0.06368 0.05471 0.04737 0.04557 0.04404
 0.04089 0.03907 0.03753 0.03526 0.03509 0.03351 0.02912 0.0278  0.02188
 0.01632 0.00568]"
database_normalized\AquaticAnimal\m67.obj,AquaticAnimal,m67.obj,"[0.11383 0.13863 0.10844 0.08573 0.06714 0.05382 0.04427 0.03877 0.03595
 0.03132 0.02993 0.03092 0.03179 0.03253 0.03667 0.03617 0.03394 0.02816
 0.01707 0.00492]"
database_normalized\AquaticAnimal\m68.obj,AquaticAnimal,m68.obj,"[0.10673 0.16325 0.119   0.0811  0.06099 0.04859 0.03872 0.03416 0.03134
 0.03059 0.02977 0.02952 0.02986 0.03127 0.03277 0.03524 0.0357  0.03197
 0.02198 0.00745]"
database_normalized\AquaticAnimal\m69.obj,AquaticAnimal,m69.obj,"[0.10522 0.15736 0.11554 0.08049 0.06215 0.0485  0.03987 0.03595 0.03551
 0.03255 0.0314  0.03052 0.0302  0.03301 0.03215 0.03424 0.03532 0.03029
 0.02193 0.0078 ]"
database_normalized\AquaticAnimal\m70.obj,AquaticAnimal,m70.obj,"[0.11341 0.16503 0.10828 0.07622 0.06075 0.04997 0.04129 0.03621 0.03368
 0.03205 0.03053 0.02817 0.02886 0.02949 0.03199 0.03404 0.0363  0.03519
 0.02212 0.00642]"
database_normalized\AquaticAnimal\m71.obj,AquaticAnimal,m71.obj,"[0.07672 0.13046 0.12334 0.09973 0.07601 0.05895 0.04876 0.04286 0.03738
 0.0351  0.03366 0.03401 0.03238 0.03403 0.03534 0.03579 0.03071 0.02113
 0.0109  0.00274]"
database_normalized\AquaticAnimal\m72.obj,AquaticAnimal,m72.obj,"[0.09986 0.1565  0.11609 0.0808  0.06361 0.05276 0.04273 0.03924 0.0366
 0.03361 0.03152 0.02984 0.03043 0.03078 0.0328  0.0334  0.03392 0.03074
 0.01928 0.00549]"
database_normalized\AquaticAnimal\m73.obj,AquaticAnimal,m73.obj,"[0.05664 0.10993 0.11501 0.10531 0.08651 0.07147 0.05804 0.05031 0.04543
 0.04276 0.04111 0.03991 0.03898 0.03451 0.03123 0.02639 0.02086 0.01496
 0.00804 0.0026 ]"
database_normalized\AquaticAnimal\m74.obj,AquaticAnimal,m74.obj,"[0.10967 0.14932 0.11488 0.08331 0.06554 0.05119 0.04229 0.03722 0.03352
 0.03167 0.03025 0.02939 0.02987 0.03097 0.03204 0.03464 0.03619 0.03243
 0.01978 0.00583]"
database_normalized\AquaticAnimal\m75.obj,AquaticAnimal,m75.obj,"[0.08187 0.14043 0.11587 0.0912  0.07068 0.05826 0.05153 0.04635 0.04221
 0.03843 0.0335  0.03209 0.03083 0.03109 0.03227 0.03016 0.02933 0.02494
 0.01467 0.00429]"
database_normalized\AquaticAnimal\m76.obj,AquaticAnimal,m76.obj,"[0.13514 0.1059  0.0734  0.06273 0.0615  0.06299 0.06078 0.05712 0.05428
 0.05175 0.04947 0.04743 0.04434 0.03577 0.02964 0.02557 0.02125 0.01356
 0.00553 0.00185]"
database_normalized\AquaticAnimal\m77.obj,AquaticAnimal,m77.obj,"[0.11313 0.13484 0.11286 0.08548 0.06451 0.05307 0.04479 0.03913 0.03542
 0.03214 0.03124 0.03336 0.03443 0.0358  0.03661 0.03713 0.03233 0.02298
 0.01514 0.00561]"
database_normalized\AquaticAnimal\m78.obj,AquaticAnimal,m78.obj,"[0.11383 0.15009 0.11904 0.0855  0.05774 0.04572 0.03871 0.0349  0.03335
 0.03069 0.0309  0.02973 0.0313  0.03532 0.03765 0.04303 0.039   0.02576
 0.01356 0.00418]"
database_normalized\AquaticAnimal\m79.obj,AquaticAnimal,m79.obj,"[0.17114 0.18718 0.10118 0.06424 0.04221 0.03403 0.02757 0.02324 0.02195
 0.02093 0.02142 0.02135 0.02464 0.02643 0.03196 0.03959 0.04561 0.04764
 0.03506 0.01263]"
database_normalized\AquaticAnimal\m80.obj,AquaticAnimal,m80.obj,"[0.11774 0.15544 0.11845 0.08073 0.05972 0.04684 0.03821 0.03278 0.02959
 0.02826 0.02692 0.02797 0.02914 0.03141 0.03658 0.03923 0.03968 0.03212
 0.02151 0.00768]"
database_normalized\AquaticAnimal\m81.obj,AquaticAnimal,m81.obj,"[0.15438 0.16708 0.10452 0.06732 0.04913 0.04002 0.03353 0.02912 0.02672
 0.02564 0.02487 0.02568 0.02872 0.03135 0.0342  0.03989 0.0445  0.04197
 0.02342 0.00794]"
database_normalized\Bed\D00031.obj,Bed,D00031.obj,"[0.07111 0.09761 0.08882 0.08075 0.07984 0.08135 0.074   0.06574 0.06173
 0.05774 0.05666 0.04543 0.03412 0.02846 0.02288 0.01817 0.0145  0.01041
 0.00747 0.00321]"
database_normalized\Bed\D00110.obj,Bed,D00110.obj,"[0.09522 0.09666 0.08635 0.08607 0.07995 0.07152 0.06852 0.06068 0.0578
 0.05779 0.0471  0.03577 0.03094 0.02637 0.02296 0.02067 0.01836 0.01678
 0.01388 0.00661]"
database_normalized\Bed\D00121.obj,Bed,D00121.obj,"[0.08767 0.09365 0.08238 0.06315 0.05446 0.05754 0.07874 0.08587 0.08818
 0.09032 0.07809 0.04802 0.02729 0.01568 0.01079 0.0091  0.00786 0.00715
 0.00798 0.00608]"
database_normalized\Bed\D00184.obj,Bed,D00184.obj,"[0.06952 0.08514 0.08805 0.08504 0.0867  0.08707 0.07673 0.06756 0.06321
 0.06339 0.05323 0.03677 0.03322 0.02852 0.02441 0.01899 0.01477 0.0095
 0.00626 0.00192]"
database_normalized\Bed\D00210.obj,Bed,D00210.obj,"[0.05657 0.09847 0.09861 0.0904  0.08934 0.08414 0.07441 0.06763 0.05889
 0.05213 0.04375 0.03762 0.0329  0.02869 0.02484 0.01964 0.01745 0.01289
 0.00829 0.00334]"
database_normalized\Bed\D00213.obj,Bed,D00213.obj,"[0.1001  0.10527 0.10786 0.06032 0.03842 0.04415 0.05821 0.0792  0.08195
 0.08347 0.06803 0.04788 0.032   0.02599 0.01976 0.01499 0.01341 0.00982
 0.00651 0.00266]"
database_normalized\Bed\D00217.obj,Bed,D00217.obj,"[0.10877 0.13525 0.07799 0.03659 0.01648 0.01419 0.02591 0.09146 0.13508
 0.14834 0.10428 0.04406 0.01422 0.00898 0.00747 0.00646 0.00647 0.00647
 0.00676 0.00477]"
database_normalized\Bed\D00307.obj,Bed,D00307.obj,"[0.08202 0.10266 0.08339 0.07833 0.08197 0.08673 0.07123 0.05974 0.05552
 0.05437 0.04938 0.04108 0.035   0.03043 0.02425 0.01968 0.01694 0.01363
 0.0099  0.00375]"
database_normalized\Bed\D00322.obj,Bed,D00322.obj,"[0.12045 0.12465 0.08725 0.03471 0.02564 0.02513 0.031   0.06448 0.11439
 0.13228 0.10632 0.0452  0.02211 0.01607 0.01339 0.01118 0.00953 0.00744
 0.00563 0.00315]"
database_normalized\Bed\D00417.obj,Bed,D00417.obj,"[0.09658 0.11403 0.08821 0.07284 0.05885 0.05091 0.06461 0.06735 0.06672
 0.06616 0.05798 0.04646 0.03709 0.02984 0.02344 0.01903 0.01662 0.01212
 0.00783 0.00333]"
database_normalized\Bed\D00538.obj,Bed,D00538.obj,"[0.09632 0.08262 0.06123 0.11005 0.02159 0.01511 0.10391 0.08084 0.08406
 0.12658 0.10869 0.03928 0.02011 0.01365 0.01006 0.00755 0.00729 0.00495
 0.00396 0.00215]"
database_normalized\Bed\D00545.obj,Bed,D00545.obj,"[0.0626  0.11055 0.10682 0.09354 0.07746 0.06692 0.06528 0.06261 0.05696
 0.05564 0.04543 0.03965 0.03361 0.02949 0.02531 0.02269 0.01893 0.01377
 0.00921 0.00353]"
database_normalized\Bed\D00552.obj,Bed,D00552.obj,"[0.11855 0.10141 0.09028 0.07377 0.06419 0.06555 0.05788 0.05447 0.05069
 0.05677 0.06591 0.04296 0.0342  0.02746 0.02027 0.01723 0.0154  0.01533
 0.01588 0.0118 ]"
database_normalized\Bed\D00565.obj,Bed,D00565.obj,"[0.06699 0.10357 0.09932 0.09593 0.08604 0.07704 0.06746 0.06082 0.05415
 0.04854 0.04186 0.03667 0.03204 0.02875 0.02515 0.02228 0.01986 0.01641
 0.01202 0.0051 ]"
database_normalized\Bed\D00650.obj,Bed,D00650.obj,"[0.0706  0.12172 0.11007 0.09127 0.07412 0.06193 0.05611 0.05574 0.05285
 0.05115 0.04451 0.03908 0.03253 0.03093 0.02799 0.02542 0.02106 0.0172
 0.01092 0.0048 ]"
database_normalized\Bed\D00735.obj,Bed,D00735.obj,"[0.05651 0.107   0.10655 0.09467 0.08194 0.07109 0.06646 0.06345 0.05966
 0.05356 0.04839 0.03933 0.03299 0.02871 0.02526 0.02147 0.01779 0.01323
 0.00877 0.00317]"
database_normalized\Bed\D00836.obj,Bed,D00836.obj,"[0.0582  0.11692 0.11924 0.09446 0.0757  0.06438 0.05726 0.05326 0.05504
 0.05318 0.04606 0.03996 0.03548 0.03289 0.02865 0.02447 0.01914 0.01354
 0.00904 0.00313]"
database_normalized\Bed\D00839.obj,Bed,D00839.obj,"[0.08473 0.10422 0.08994 0.07754 0.06446 0.05558 0.06928 0.07201 0.07172
 0.07304 0.06239 0.04537 0.03334 0.02561 0.02007 0.01648 0.01393 0.01028
 0.00696 0.00305]"
database_normalized\Bed\D00969.obj,Bed,D00969.obj,"[0.0519  0.08783 0.09026 0.08656 0.08694 0.08511 0.08136 0.07419 0.06824
 0.06409 0.0563  0.0443  0.03418 0.02542 0.02019 0.01523 0.01203 0.00819
 0.0054  0.00228]"
database_normalized\Bed\D00988.obj,Bed,D00988.obj,"[0.06057 0.11261 0.10674 0.09379 0.08202 0.07047 0.06381 0.06099 0.05587
 0.05114 0.04478 0.03887 0.03205 0.02976 0.02623 0.02235 0.01961 0.01476
 0.00987 0.00371]"
database_normalized\Bed\m945.obj,Bed,m945.obj,"[0.06028 0.10704 0.10064 0.08856 0.07887 0.07095 0.06854 0.06547 0.0614
 0.05482 0.05016 0.04391 0.03722 0.03166 0.02559 0.02017 0.01487 0.01104
 0.00646 0.00235]"
database_normalized\Bed\m946.obj,Bed,m946.obj,"[0.07322 0.12277 0.11118 0.07952 0.06093 0.0502  0.05013 0.06421 0.07482
 0.07456 0.05734 0.03873 0.03021 0.02599 0.02327 0.01948 0.01645 0.01398
 0.00875 0.00426]"
database_normalized\Bed\m947.obj,Bed,m947.obj,"[0.06218 0.10533 0.09664 0.08148 0.06467 0.05467 0.06264 0.07783 0.0884
 0.08489 0.06887 0.04505 0.02814 0.02095 0.01585 0.01378 0.0113  0.00824
 0.00615 0.00294]"
database_normalized\Bed\m948.obj,Bed,m948.obj,"[0.05241 0.07638 0.08116 0.08431 0.09186 0.10274 0.08966 0.07506 0.06798
 0.06523 0.05863 0.0446  0.03333 0.02442 0.01584 0.01141 0.00935 0.00703
 0.00527 0.00333]"
database_normalized\Bed\m949.obj,Bed,m949.obj,"[0.04173 0.09092 0.10933 0.10421 0.08773 0.07466 0.06869 0.06446 0.06631
 0.0624  0.05427 0.04364 0.03534 0.02799 0.02263 0.01761 0.01261 0.00827
 0.00518 0.00202]"
database_normalized\Bed\m950.obj,Bed,m950.obj,"[0.04179 0.06469 0.07395 0.08897 0.10926 0.11025 0.09972 0.0818  0.06961
 0.06394 0.05392 0.04062 0.03008 0.02167 0.01693 0.01167 0.00822 0.0064
 0.00441 0.0021 ]"
database_normalized\Bed\m951.obj,Bed,m951.obj,"[0.05852 0.10198 0.09895 0.09148 0.08638 0.07842 0.07116 0.06556 0.05971
 0.05489 0.04697 0.03884 0.0334  0.02792 0.02375 0.02005 0.01725 0.01281
 0.00857 0.00339]"
database_normalized\Bicycle\D00016.obj,Bicycle,D00016.obj,"[0.14778 0.12504 0.08665 0.07019 0.06123 0.05416 0.04986 0.04798 0.04435
 0.04188 0.03709 0.03333 0.02978 0.02802 0.0266  0.02596 0.02557 0.02571
 0.02354 0.01528]"
database_normalized\Bicycle\D00033.obj,Bicycle,D00033.obj,"[0.12407 0.12807 0.09708 0.07564 0.06124 0.05387 0.04969 0.04988 0.04754
 0.04193 0.03877 0.03507 0.03105 0.03051 0.02776 0.02695 0.02634 0.0241
 0.02113 0.00931]"
database_normalized\Bicycle\D00040.obj,Bicycle,D00040.obj,"[0.10511 0.12806 0.0984  0.07674 0.06372 0.05875 0.05616 0.05232 0.05142
 0.04654 0.04076 0.03513 0.03354 0.0294  0.02611 0.02478 0.02408 0.02369
 0.01748 0.00781]"
database_normalized\Bicycle\D00077.obj,Bicycle,D00077.obj,"[0.10834 0.1196  0.09875 0.08107 0.0727  0.0648  0.05602 0.05141 0.046
 0.04057 0.03479 0.03432 0.03158 0.03097 0.02846 0.02649 0.02402 0.02142
 0.01961 0.00908]"
database_normalized\Bicycle\D00078.obj,Bicycle,D00078.obj,"[0.09524 0.11843 0.10049 0.08343 0.0734  0.06448 0.05895 0.05402 0.05078
 0.04473 0.03996 0.03643 0.0316  0.0296  0.02727 0.02484 0.02242 0.02094
 0.01642 0.00657]"
